"imdb_title_id","title","original_title","year","date_published","genre","duration","country","language_1","language_2","language_3","director","writer","actors","actors_1","actors_f2","description","desc35","avg_vote","votes","usa_gross_income","worlwide_gross_income","reviews_from_users","budget","profit"
"tt0848537","Epic - Il mondo segreto","Epic",2013,"2013-05-23","Animation, Adventure, Family",102,"USA","English","","","Chris Wedge","James V. Hart, William Joyce","Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy, Todd Cummings, John DiMaggio, Troy Evans, Colin Farrell, Jason Fricchione, Judah Friedlander, Helen Hong, Josh Hutcherson, Kelly Keaton, Emma Kenney, Kyle Kinane","Blake Anderson","Blake Anderson, Aziz Ansari","A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.","A teenager finds herself transported",6.7,98588,107.518682,268.426634,132,100,168.426634
"tt0859635","Super Troopers 2","Super Troopers 2",2018,"2018-07-12","Comedy, Crime, Mystery",100,"USA","English","","","Jay Chandrasekhar","Jay Chandrasekhar, Kevin Heffernan","Seann William Scott, Clifton Collins Jr., Steve Lemme, Erik Stolhanske, Jay Chandrasekhar, Paul Soter, Damon Wayans Jr., Kevin Heffernan, Brian Cox, Marisa Coughlan, Bruce McCulloch, Lynda Carter, Rob Lowe, Hayes MacArthur, Tyler Labine","Seann William Scott","Seann William Scott","When a border dispute arises between the U.S. and Canada, the Super Troopers are tasked with establishing a Highway Patrol station in the disputed area.","When a border dispute arises between",6,23256,30.617396,31.626386,207,13.5,18.126386
"tt0864761","La duchessa","The Duchess",2008,"2008-12-23","Biography, Drama, History",110,"UK, Italy, France, USA","English","","","Saul Dibb","Jeffrey Hatcher, Anders Thomas Jensen","Keira Knightley, Ralph Fiennes, Charlotte Rampling, Dominic Cooper, Hayley Atwell, Simon McBurney, Aidan McArdle, John Shrapnel, Alistair Petrie, Patrick Godfrey, Michael Medwin, Justin Edwards, Richard McCabe, Calvin A. Dean, Hannah Stokely","Keira Knightley","Keira Knightley, Ralph Fiennes","A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life.","A chronicle of the life of 18th-century",6.9,77106,13.848978,43.343384,159,24.975,18.368384
"tt0864835","Mr. Peabody e Sherman","Mr. Peabody & Sherman",2014,"2014-03-13","Animation, Adventure, Comedy",92,"USA","English","","","Rob Minkoff","Jay Ward, Craig Wright","Ty Burrell, Max Charles, Lauri Fraser, Guillaume Aretos, Pat Musick, Ariel Winter, Karan Brar, Joshua Rush, Stephen Tobolowsky, Allison Janney, Dennis Haysbert, Stephen Colbert, Leslie Mann, Zach Callison, Steve Valentine","Ty Burrell","Ty Burrell, Max Charles","The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.","The time-travelling adventures",6.8,61042,111.50643,275.698039,161,145,130.698039
"tt0865556","Il regno proibito","The Forbidden Kingdom",2008,"2008-04-18","Action, Adventure, Fantasy",104,"USA, China","English","Mandarin","","Rob Minkoff","John Fusco","Jet Li, Michael Angarano, Jackie Chan, Juana Collignon, Morgan Benoit, Jack Posobiec, Thomas McDonell, Zhi Ma Gui, Shen Shou He, Bin Jiang, Shaohua Yang, Yu Yuan Zeng, Deshun Wang, XiaoLi Liu, Collin Chou","Jet Li","Jet Li, Michael Angarano","A discovery made by a kung fu obsessed American teen sends him on an adventure to China, where he joins up with a band of martial arts warriors in order to free the imprisoned Monkey King.","A discovery made by a kung fu",6.6,100248,52.07527,128.792411,303,55,73.792411
"tt0871426","Baby Mama","Baby Mama",2008,"2009-07-24","Comedy, Romance",99,"USA","English","","","Michael McCullers","Michael McCullers","Amy Poehler, Tina Fey, Greg Kinnear, Dax Shepard, Romany Malco, Sigourney Weaver, Steve Martin, Maura Tierney, Stephen Mailer, Holland Taylor, James Rebhorn, Denis O'Hare, Kevin Collins, Will Forte, Fred Armisen","Amy Poehler","Amy Poehler, Tina Fey","A successful, single businesswoman who dreams of having a baby discovers she is infertile and hires a working class woman to be her unlikely surrogate.","A successful, single businesswoman",6,41704,60.494212,64.444713,110,30,34.444713
"tt0876563","Ponyo sulla scogliera","Gake no ue no Ponyo",2008,"2009-03-20","Animation, Adventure, Comedy",101,"Japan","Italian","Japanese","","Hayao Miyazaki","Hayao Miyazaki","Tomoko Yamaguchi, Kazushige Nagashima, Yûki Amami, George Tokoro, Yuria Nara, Hiroki Doi, Rumi Hiiragi, Akiko Yano, Kazuko Yoshiyuki, Tomoko Naraoka, Shin'ichi Hatori, Tokie Hidari, Eimi Hiraoka, Nozomi Ohashi, Akihiko Ishizumi","Tomoko Yamaguchi","Tomoko Yamaguchi, Kazushige Nagashima","A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.","A five-year-old boy develops a",7.7,120185,15.743471,203.204882,200,34,169.204882
"tt0878804","The Blind Side","The Blind Side",2009,"2009-11-20","Biography, Drama, Sport",129,"USA","English","","","John Lee Hancock","John Lee Hancock, Michael Lewis","Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head, Lily Collins, Ray McKinnon, Kim Dickens, Adriane Lenox, Kathy Bates, Catherine Dyer, Andy Stahl, Tom Nowicki, Libby Whittemore, Brian Hollan, Melody Weintraub","Sandra Bullock","Sandra Bullock, Tim McGraw","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","The story of Michael Oher, a homeless",7.6,286037,255.959475,309.208309,509,29,280.208309
"tt0880578","Nella rete del serial killer","Untraceable",2008,"2008-08-01","Crime, Mystery, Thriller",101,"USA","English","","","Gregory Hoblit","Robert Fyvolent, Mark Brinker","Diane Lane, Billy Burke, Colin Hanks, Joseph Cross, Mary Beth Hurt, Peter Gray Lewis, Tyrone Giordano, Perla Haney-Jardine, Tim DeZarn, Christopher Cousins, Jesse Tyler Ferguson, Trina Adams, Brynn Baron, John Breen, Dan Callahan","Diane Lane","Diane Lane, Billy Burke","FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.","FBI agent Jennifer Marsh is tasked",6.2,46812,28.687835,52.933513,267,35,17.933513
"tt0882977","Snitch - L'infiltrato","Snitch",2013,"2013-05-01","Action, Drama, Thriller",112,"USA, United Arab Emirates, UK","English","Spanish","","Ric Roman Waugh","Justin Haythe, Ric Roman Waugh","Dwayne Johnson, Barry Pepper, Jon Bernthal, Susan Sarandon, Michael Kenneth Williams, Rafi Gavron, Melina Kanakaredes, Nadine Velazquez, Benjamin Bratt, Lela Loren, JD Pardo, David Harbour, Harold Perrineau, Kyara Campos, James Allen McCune","Dwayne Johnson","Dwayne Johnson, Barry Pepper","A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in a drug deal.","A father goes undercover for the",6.4,81909,42.930462,57.824674,151,15,42.824674
