"imdb_title_id","title","original_title","year","date_published","genre","duration","country","language_1","language_2","language_3","director","writer","actors","actors_1","actors_2","description","desc35","avg_vote","votes","usa_gross_income","worlwide_gross_income","reviews_from_users","budget","profit","success_rating_0_10","month_published","num_films","month"
"tt0435761","Toy Story 3 - La grande fuga","Toy Story 3",2010,"2010-07-07","Adventure",103,"USA","English","Spanish","","Lee Unkrich","John Lasseter","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton","Tom Hanks"," Tim Allen","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","The toys are mistakenly delivered",8.3,739717,415.005,1066.97,893,200,866.97,5.702,"July",1,"07"
"tt0435761","Toy Story 3 - La grande fuga","Toy Story 3",2010,"2010-07-07","Comedy",103,"USA","English","Spanish","","Lee Unkrich","John Lasseter","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton","Tom Hanks"," Tim Allen","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","The toys are mistakenly delivered",8.3,739717,415.005,1066.97,893,200,866.97,5.702,"July",1,"07"
"tt0436697","The Queen - La regina","The Queen",2006,"2006-09-15","Biography",103,"UK","English","German","French","Stephen Frears","Peter Morgan","Helen Mirren, James Cromwell, Alex Jennings, Roger Allam, Sylvia Syms, Tim McMullan, Robin Soans, Lola Peploe, Douglas Reith, Joyce Henderson, Pat Laffan, Amanda Hadingue, John McGlynn, Gray O'Brien, Dolina MacLennan","Helen Mirren"," James Cromwell","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Two neighbors, a woman and a man,",7.3,102517,56.442,123.384,457,18.032,105.352,1.744,"September",1,"09"
"tt0436697","The Queen - La regina","The Queen",2006,"2006-09-15","Drama",103,"UK","English","German","French","Stephen Frears","Peter Morgan","Helen Mirren, James Cromwell, Alex Jennings, Roger Allam, Sylvia Syms, Tim McMullan, Robin Soans, Lola Peploe, Douglas Reith, Joyce Henderson, Pat Laffan, Amanda Hadingue, John McGlynn, Gray O'Brien, Dolina MacLennan","Helen Mirren"," James Cromwell","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Two neighbors, a woman and a man,",7.3,102517,56.442,123.384,457,18.032,105.352,1.744,"September",1,"09"
"tt0436697","The Queen - La regina","The Queen",2006,"2006-09-15","History",103,"UK","English","German","French","Stephen Frears","Peter Morgan","Helen Mirren, James Cromwell, Alex Jennings, Roger Allam, Sylvia Syms, Tim McMullan, Robin Soans, Lola Peploe, Douglas Reith, Joyce Henderson, Pat Laffan, Amanda Hadingue, John McGlynn, Gray O'Brien, Dolina MacLennan","Helen Mirren"," James Cromwell","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Two neighbors, a woman and a man,",7.3,102517,56.442,123.384,457,18.032,105.352,1.744,"September",1,"09"
"tt0437086","Alita - Angelo della battaglia","Alita: Battle Angel",2019,"2019-02-14","Action",122,"USA","English","Spanish","","Robert Rodriguez","James Cameron","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez","Rosa Salazar"," Christoph Waltz","A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.","A deactivated cyborg is revived,",7.3,217183,85.71,404.853,2757,170,234.853,2.242,"February",1,"02"
"tt0437086","Alita - Angelo della battaglia","Alita: Battle Angel",2019,"2019-02-14","Adventure",122,"USA","English","Spanish","","Robert Rodriguez","James Cameron","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez","Rosa Salazar"," Christoph Waltz","A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.","A deactivated cyborg is revived,",7.3,217183,85.71,404.853,2757,170,234.853,2.242,"February",1,"02"
"tt0437086","Alita - Angelo della battaglia","Alita: Battle Angel",2019,"2019-02-14","Sci-Fi",122,"USA","English","Spanish","","Robert Rodriguez","James Cameron","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez","Rosa Salazar"," Christoph Waltz","A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.","A deactivated cyborg is revived,",7.3,217183,85.71,404.853,2757,170,234.853,2.242,"February",1,"02"
"tt0438097","L'era glaciale 2 - Il disgelo","Ice Age: The Meltdown",2006,"2006-04-21","Animation",91,"USA","English","","","Carlos Saldanha","Peter Gaulke","Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah, Will Arnett, Jay Leno, Chris Wedge, Peter Ackerman, Caitlin Rose Anderson, Connor Anderson, Joseph Bologna, Jack Crocicchia, Peter DeSève","Ray Romano"," John Leguizamo","Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.","Manny, Sid, and Diego discover",6.8,250963,195.331,667.095,268,80,587.095,2.652,"April",1,"04"
"tt0438097","L'era glaciale 2 - Il disgelo","Ice Age: The Meltdown",2006,"2006-04-21","Adventure",91,"USA","English","","","Carlos Saldanha","Peter Gaulke","Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah, Will Arnett, Jay Leno, Chris Wedge, Peter Ackerman, Caitlin Rose Anderson, Connor Anderson, Joseph Bologna, Jack Crocicchia, Peter DeSève","Ray Romano"," John Leguizamo","Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.","Manny, Sid, and Diego discover",6.8,250963,195.331,667.095,268,80,587.095,2.652,"April",1,"04"
"tt0438097","L'era glaciale 2 - Il disgelo","Ice Age: The Meltdown",2006,"2006-04-21","Comedy",91,"USA","English","","","Carlos Saldanha","Peter Gaulke","Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah, Will Arnett, Jay Leno, Chris Wedge, Peter Ackerman, Caitlin Rose Anderson, Connor Anderson, Joseph Bologna, Jack Crocicchia, Peter DeSève","Ray Romano"," John Leguizamo","Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.","Manny, Sid, and Diego discover",6.8,250963,195.331,667.095,268,80,587.095,2.652,"April",1,"04"
"tt0438488","Terminator Salvation","Terminator Salvation",2009,"2009-06-05","Action",115,"USA","English","Italian","","McG","John Brancato","Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter, Anton Yelchin, Jadagrace, Bryce Dallas Howard, Common, Jane Alexander, Michael Ironside, Ivan G'Vera, Chris Browning, Dorian Nkono, Beth Bailey, Victor J. Ho","Christian Bale"," Sam Worthington","In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?","In 2018, a mysterious new weapon",6.5,339181,125.322,371.353,1095,200,171.353,1.393,"June",1,"06"
"tt0438488","Terminator Salvation","Terminator Salvation",2009,"2009-06-05","Adventure",115,"USA","English","Italian","","McG","John Brancato","Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter, Anton Yelchin, Jadagrace, Bryce Dallas Howard, Common, Jane Alexander, Michael Ironside, Ivan G'Vera, Chris Browning, Dorian Nkono, Beth Bailey, Victor J. Ho","Christian Bale"," Sam Worthington","In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?","In 2018, a mysterious new weapon",6.5,339181,125.322,371.353,1095,200,171.353,1.393,"June",1,"06"
"tt0438488","Terminator Salvation","Terminator Salvation",2009,"2009-06-05","Sci-Fi",115,"USA","English","Italian","","McG","John Brancato","Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter, Anton Yelchin, Jadagrace, Bryce Dallas Howard, Common, Jane Alexander, Michael Ironside, Ivan G'Vera, Chris Browning, Dorian Nkono, Beth Bailey, Victor J. Ho","Christian Bale"," Sam Worthington","In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?","In 2018, a mysterious new weapon",6.5,339181,125.322,371.353,1095,200,171.353,1.393,"June",1,"06"
"tt0439662","La paura nel cuore","Fanaa",2006,"2006-05-26","Drama",168,"India","Hindi","Indonesian","Italian","Kunal Kohli","Shibani Bathija","Aamir Khan, Kajol, Rishi Kapoor, Tabu, Kiron Kher, Lara Dutta, Shiney Ahuja, Satish Shah, Lillete Dubey, Sharat Saxena, Ahmed Khan, Vrajesh Hirjee, Jaspal Bhatti, Gautami Kapoor, Shruti Seth","Aamir Khan"," Kajol","A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?","A sweet blind girl Zooni meets",7.2,30351,2.105,22.182,121,5.3,16.882,1.305,"May",1,"05"
"tt0439662","La paura nel cuore","Fanaa",2006,"2006-05-26","Romance",168,"India","Hindi","Indonesian","Italian","Kunal Kohli","Shibani Bathija","Aamir Khan, Kajol, Rishi Kapoor, Tabu, Kiron Kher, Lara Dutta, Shiney Ahuja, Satish Shah, Lillete Dubey, Sharat Saxena, Ahmed Khan, Vrajesh Hirjee, Jaspal Bhatti, Gautami Kapoor, Shruti Seth","Aamir Khan"," Kajol","A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?","A sweet blind girl Zooni meets",7.2,30351,2.105,22.182,121,5.3,16.882,1.305,"May",1,"05"
"tt0440963","The Bourne Ultimatum - Il ritorno dello sciacallo","The Bourne Ultimatum",2007,"2007-11-01","Action",115,"USA","English","French","Arabic","Paul Greengrass","Tony Gilroy","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Edgar Ramírez, Albert Finney, Joan Allen, Tom Gallop, Corey Johnson, Daniel Brühl, Joey Ansah, Colin Stinton, Dan Fredenburgh, Lucy Liemann","Matt Damon"," Julia Stiles","Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.","Jason Bourne dodges a ruthless",8,597616,227.471,444.1,886,110,334.1,3.808,"November",1,"11"
"tt0440963","The Bourne Ultimatum - Il ritorno dello sciacallo","The Bourne Ultimatum",2007,"2007-11-01","Mystery",115,"USA","English","French","Arabic","Paul Greengrass","Tony Gilroy","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Edgar Ramírez, Albert Finney, Joan Allen, Tom Gallop, Corey Johnson, Daniel Brühl, Joey Ansah, Colin Stinton, Dan Fredenburgh, Lucy Liemann","Matt Damon"," Julia Stiles","Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.","Jason Bourne dodges a ruthless",8,597616,227.471,444.1,886,110,334.1,3.808,"November",1,"11"
"tt0440963","The Bourne Ultimatum - Il ritorno dello sciacallo","The Bourne Ultimatum",2007,"2007-11-01","Thriller",115,"USA","English","French","Arabic","Paul Greengrass","Tony Gilroy","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Edgar Ramírez, Albert Finney, Joan Allen, Tom Gallop, Corey Johnson, Daniel Brühl, Joey Ansah, Colin Stinton, Dan Fredenburgh, Lucy Liemann","Matt Damon"," Julia Stiles","Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.","Jason Bourne dodges a ruthless",8,597616,227.471,444.1,886,110,334.1,3.808,"November",1,"11"
"tt0441048","Dhoom:2","Dhoom:2",2006,"2006-11-24","Action",152,"India","Hindi","Urdu","English","Sanjay Gadhvi","Vijay Krishna Acharya","Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra, Bipasha Basu, Rimi Sen, Trishla Baid, Nikio, Railey, Harry, James, Taufrique, Yusuf Hussain, Arjun Sablok, Samer Shardh","Hrithik Roshan"," Abhishek Bachchan","Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.","Mr A, a fearless thief, steals",6.5,23251,2.644,32.396,151,7,25.396,0.559,"November",1,"11"
"tt0441048","Dhoom:2","Dhoom:2",2006,"2006-11-24","Thriller",152,"India","Hindi","Urdu","English","Sanjay Gadhvi","Vijay Krishna Acharya","Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra, Bipasha Basu, Rimi Sen, Trishla Baid, Nikio, Railey, Harry, James, Taufrique, Yusuf Hussain, Arjun Sablok, Samer Shardh","Hrithik Roshan"," Abhishek Bachchan","Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.","Mr A, a fearless thief, steals",6.5,23251,2.644,32.396,151,7,25.396,0.559,"November",1,"11"
